方名,text
加味五苓散,"桂枝,白术,茯苓,猪苓,泽泻,桃仁,黑白丑"
牛黄八宝丸,"牛黄,水牛角,珍珠,冰片,朱砂,玄参,浙贝,黄连,羌活,雄黄,青黛,紫花地丁,金银花,菊花,乳香,紫草,没药,甘草"
加味活血消痈汤,"夏枯草,牡丹皮,红花,桃仁,赤芍,白芍,泽兰,木通,三棱,莪术,茴香"
长春宝丹,"鹿茄茸,鹿角,巨胜子,人参,鸡蛋,枸杞子,当归,肉苁蓉,楮实子,杜仲,牛膝,金樱子,巴戟,锁阳,葱,韭子,破故纸,地黄,鸽子蛋,何首乌"
止血粉,"川贝,三七"
止痛散,"防风,当归,蕲艾,牡丹皮,鹤虱,麻,苦参,透骨草,赤芍,川椒,甘草"
止痒永安汤,"荆芥,麻黄,桂枝,白芷,羌活,蝉蜕,当归,赤芍,桃仁,红花"
加味佛手散,"当归,泡参,香附,台乌,吴萸,桑寄生,延胡"
加味红花散,"地黄,赤芍,荷叶,牡丹皮,红花,蒲黄"
化毒排脓内补十宣散,"黄芪,盐,人参,当归,厚朴,生姜,桔梗,去头尾,桂心,芎,防风,甘草,白芷"
肾气丸,"地黄,山茱萸,泽泻,茯苓,牡丹皮,桂枝,附子"
神验胎动方,当归
峒丹,"牛黄,冰片,乳香,大黄,三七,儿茶,天竹黄,血竭,山羊血,月黄,没药"
加减真武汤,"附子,红花,黄芪,白术,人参,赤芍,当归,川芎,地锦草"
加味清热消痈汤,"金银花,菊花,赤芍,黄芩,蒲公英,白芷,天花粉,木通,陈皮,甘草,穿山甲,皂角刺"
加味失笑散,"蒲黄,延胡,牡丹皮,桃仁,香附,台乌"
加味四物汤,"羌活,防风,地黄,当归,赤芍,川芎,桃仁,牛膝,黄芩,黄柏"
牛膝方2,"牛膝,当归,通草,葵子,瞿麦"
仙术茯苓丸,"白术,茯苓"
二精丸,黄精
石南丸,"石南藤,没药,川乌,五灵脂,自然铜,木瓜"
石南丸2,"石南,牛膝,防风,天麻,枸杞,黄芪,桂半,鹿茸,半"
石菖蒲丸,"石菖蒲半,杜仲,炙,百部,山芋,甘草,五味子,贝母,丹参,人参,防风,茯苓,茯神半,地黄,麦冬,远志"
人参再造丸,"蕲蛇,玄参,麻黄,香附,穿山甲,天竺黄,白芷,地龙,大黄,威灵仙,地黄,羌活,姜黄,乌药,首乌,茯苓,葛根,细辛,草豆蔻,紫豆蔻,藿香,赤芍,黑附片,虎骨,杭菊,川芎,青皮,僵蚕,白术,黄芪,天麻,黄连,骨碎补,全蝎,附子,防风,萆薢,桑寄生,党参,沉香,肉桂,松香,没药,乳香,血竭,山羊血,丁香,甘草,当归"
关节炎汤号,"赤节,桂枝,地黄,地黄,细辛,当归,秦艽,片姜黄,独活,桑寄生,桑枝,防风,薏苡仁"
伤湿涂膜,"白芷,徐长卿,金果榄,莪术,桂枝,颠茄流浸膏,邻苯甲酸丁酯,聚乙烯醇缩甲乙醛,丙酮,雪上枝蒿,乙醇,樟脑"
伤湿止痛膏,"骨碎补,草乌,山柰,老鹳草,马钱子,白芷,干姜,肉桂,荆芥,五加皮,乳香,没药,马蹄草,防风,颠茄浸膏,冬青油,樟脑,薄荷,芸香膏,冰片,橡胶,汽油,羊毛脂,氧化锌,松香,椰子油,凡士林"
伤药膏,"乳香,血竭,羌活,独活,续断,甲珠,香附,木瓜,川芎,自然铜,川乌,草乌,天南星,荆芥,白芷,泽兰,小茴,上桂,麝香"
伤油膏,"血竭,乳香,没药,儿茶,琥珀,冰片,香油"
伤湿止痛膏2,"伤湿止痛流浸膏,白芷,水杨酸甲酯,薄荷,冰片,樟脑,芸香浸膏,颠茄流浸膏,山柰,干姜"
回生丹,"大黄,黑豆,红花,米醋,人参,当归,川芎,香附,延胡索,苍术,蒲黄,茯苓,桃仁,牛膝,甘草,地榆,羌活,橘红,白芍,木瓜,青皮,乳香,没药,益母草,木香,白术,乌药,高良姜,马鞭草,秋葵子,地黄,三棱,五灵脂,山萸肉"
回生丹2,"大黄,红花,黑豆,当归,川芎,地黄,茯苓,苍术,香附,乌药,延胡索,桃仁,蒲黄,牛膝,白芍,甘草,陈皮,木香,三棱,五灵脂,羌活,地榆,山萸,人参,白术,青皮,木瓜,高良姜,乳香,没药"
